-4.3366456,5.9925515,-2.3805655,4.3601403
-4.2691081,5.9189776,-2.4175193,4.3552899
-4.2043608,5.8428982,-2.4556227,4.3459973
-4.1425887,5.7643634,-2.4947374,4.3334233
-4.0839694,5.6834363,-2.5348394,4.3182421
-4.0286814,5.6001999,-2.575872,4.3009645
-3.9768978,5.5147507,-2.6178052,4.2820592
-3.9287883,5.4271985,-2.6606327,4.2618165
-3.88452,5.3376619,-2.7043878,4.2403847
-3.8442608,5.2462653,-2.7491593,4.2177184
-3.8081852,5.1531352,-2.795114,4.1935449
-3.776484,5.0583986,-2.8425266,4.1672974
-3.7493797,4.9621875,-2.8918227,4.1380201
-3.7271489,4.8646575,-2.9436371,4.0418134
-3.710152,4.766036,-2.998889,3.8486756
-3.6988625,4.6667257,-3.0588517,3.6541327
-3.6938715,4.5674934,-3.1251078,3.4620868
-3.695945,4.4670796,3.0821784,3.273606
-3.7059763,4.3680476,2.9977649,3.0785638
-3.7246969,4.2704084,2.9037888,2.914417
-3.7541777,4.1758335,2.7677073,2.8367675
-3.7972539,4.0854191,2.6312317,2.7569318
-3.8504815,4.0015455,2.5252499,2.7830076
-3.9119847,3.9224253,2.4390993,2.8721192
-3.9795641,3.848412,2.3657966,2.9749158
-4.0519269,3.7793619,2.3008809,3.0688474
-4.1282979,3.7150252,2.2416304,3.1549992
-4.2081682,3.6552036,2.1861859,3.2342635
-4.2911595,3.5997835,2.1333309,3.3073851
-4.3769527,3.5487201,2.0822932,3.3749943
-4.4652553,3.5020122,2.0325936,3.4376308
-4.5557873,3.4596792,1.9839537,3.4957609
-4.6482773,3.4217438,1.9362378,3.549791
-4.7424614,3.3882191,1.889413,3.6000782
-4.838029,3.3591164,1.843541,3.6469381
-4.9347719,3.3343917,1.7986726,3.6906511
-5.0325586,3.3139703,1.7548793,3.7314682
-5.1311538,3.2977867,1.7123154,3.7696142
-5.2303294,3.2857444,1.6711731,3.8052923
-5.3298849,3.2777198,1.6315322,3.8386859
-5.4297099,3.2735642,1.5935739,3.8699618
-5.529654,3.2731143,1.557291,3.8992716
-5.6295165,3.2762121,1.522487,3.9267541
-5.7291686,3.28272,1.4888674,3.9525359
-5.828531,3.292517,1.4563433,3.9767336
-5.9275181,3.3054859,1.4248751,3.9994539
-6.0261609,3.3215312,1.3943841,4.0207955
-6.124256,3.3405237,1.3648737,4.0408493
-6.2217401,3.3623516,1.3363143,4.0596992
-6.3185569,3.3869054,1.3086827,4.077423
-6.4146581,3.4140772,1.2819638,4.0940928
-6.5100021,3.4437603,1.2561494,4.1097755
-6.6045544,3.475849,1.2312377,4.1245331
-6.6983512,3.5102624,1.2072176,4.1384234
-6.7913144,3.5468774,1.1841145,4.1515001
-6.8834152,3.5855831,1.1619473,4.1638135
-6.9746468,3.6262738,1.1407354,4.1754102
-7.0650088,3.6688435,1.1204852,4.1863339
-7.1545046,3.7131917,1.1010877,4.1966252
-7.2431314,3.7592412,1.0821804,4.2063224
-7.3308774,3.8069411,1.0636128,4.2154609
-7.4177294,3.8562467,1.0453802,4.2240741
-7.5036769,3.9071121,1.0275105,4.2321932
-7.588723,3.9594955,1.0100342,4.2398475
-7.6728657,4.013348,0.9929882,4.2470643
-7.7560868,4.0686045,0.976418,4.2538694
-7.8383918,4.1252086,0.9603699,4.2602869
-7.9197909,4.183101,0.9448947,4.2663394
-8.0003002,4.2422193,0.9300472,4.2720481
-8.0799411,4.3024979,0.9158863,4.2774331
-8.1587415,4.3638679,0.9024738,4.2825129
-8.2367565,4.426255,0.8907468,4.2873054
-8.3142545,4.4893191,0.8862108,4.291827
-8.3917756,4.552343,0.8916181,4.2960933
-8.4698112,4.6146923,0.9022835,4.3001189
-8.5485626,4.6761237,0.9145026,4.3039177
-8.6280826,4.7365583,0.9274837,4.3075026
-8.7084035,4.7959265,0.941203,4.3108858
-8.7895537,4.8541591,0.9556397,4.3140788
-8.8715579,4.9111866,0.9707734,4.3170925
-8.9544371,4.9669401,0.9865827,4.319937
-9.0382082,5.0213509,1.0030448,4.3226219
-9.1228746,5.074345,1.0201343,4.3251563
-9.2084462,5.1258564,1.0378245,4.3275487
-9.2949262,5.1758188,1.0560919,4.3298071
-9.3823144,5.2241672,1.0749021,4.3319391
-9.470604,5.2708383,1.0942304,4.3339519
-9.5597876,5.3157689,1.1140807,4.335852
-9.6498805,5.3589163,1.1341787,4.337646
-9.7408401,5.4002734,1.1538849,4.3393397
-9.8325762,5.4398356,1.1734065,4.3409388
-9.9250665,5.4775822,1.1932823,4.3424487
-10.0183007,5.5134733,1.2134117,4.3438743
-10.1122401,5.5474633,1.2339051,4.3452203
-10.2068597,5.5794992,1.2548449,4.3464912
-10.3021297,5.6095196,1.2763296,4.3476913
-10.3980342,5.6374561,1.2984798,4.3488245
-10.4945524,5.6632268,1.3214245,4.3498945
-10.5916496,5.6867327,1.345303,4.3509049
-10.6892903,5.707862,1.370254,4.351859
-10.7874348,5.7264909,1.3963779,4.35276
-10.8860361,5.7424895,1.4237186,4.3536108
-10.9850398,5.7557217,1.4523704,4.3544142
-11.0843821,5.766042,1.4824336,4.355173
-11.183989,5.7732978,1.5139761,4.3558894
-11.2837738,5.7773338,1.5470052,4.3565661
-11.3836364,5.7780063,1.581294,4.357205
-11.4834662,5.7752232,1.6160596,4.3578085
-11.583148,5.7689744,1.650687,4.3583783
